name,class,t,state,Lr,Lr_unc,Lr_uplim_bool,Lx,Lx_unc_l,Lx_unc_u,Lx_uplim_bool
H 1743-322,candidateBH,58375.705,HS,2.6783349870609645e+29,1.494768200748242e+28,0,1.3142656186507836e+37,1.4851831337737512e+36,1.6743981489719803e+36,0
H 1743-322,candidateBH,58382.685,HS,1.8704074909640617e+29,1.0866599897069386e+28,0,1.1237643367730232e+37,1.2575804066246584e+36,1.4402673118805605e+36,0
H 1743-322,candidateBH,58389.716,HS,9.739399952948962e+28,7.371320548416142e+27,0,5.617519648306477e+36,6.0655377519272346e+35,7.212762559509991e+35,0
H 1743-322,candidateBH,58396.662,HS,3.541599982890532e+28,9.029343711049348e+27,0,1.890410232449889e+36,2.1183323700951286e+35,2.423704115141343e+35,0
H 1743-322,candidateBH,58403.633,HS,2.2134999893065824e+28,1.1122699789941786e+28,0,5.957917053032665e+35,7.006780491279391e+34,7.721360707741578e+34,0
H 1743-322,candidateBH,58410.591,HS,1.2174249941186202e+28,4.0580833137287337e+27,1,1.5423915969470041e+35,1.818278485860532e+34,2.074007717166733e+34,0
H 1743-322,candidateBH,58418.511,HS,1.2174249941186202e+28,4.0580833137287337e+27,1,7.781835899905959e+34,4.39272040208839e+34,1.008623912204624e+35,0
IGR J17091-3624,candidateBH,59657.09335,HS,1.1949529907669744e+30,6.0048639577186144e+28,0,1.1712033356295976e+38,1.280528972422985e+37,1.6793423208381245e+37,0
IGR J17091-3624,candidateBH,59666.08307,SS,1.7014569343408152e+30,8.540333176298453e+28,0,1.3089026191506318e+38,1.1836199727085967e+37,1.296704278936376e+37,0
IGR J17091-3624,candidateBH,59673.06093,SS,1.546233141319075e+30,7.754450211328396e+28,0,1.3938794648316964e+38,1.250057862823683e+37,1.3907144936157635e+37,0
IGR J17091-3624,candidateBH,59679.06407,SS,4.0532325063703905e+29,2.122429565796084e+28,0,1.2930655094608412e+38,1.0037181388193443e+37,1.1352786794197577e+37,0
IGR J17091-3624,candidateBH,59685.19836,SS,4.713759285186306e+29,2.4397572571387064e+28,0,1.3910394765492605e+38,1.2703733301104492e+37,1.414837292177705e+37,0
IGR J17091-3624,candidateBH,59715.02642,SS,2.2517958368724396e+28,6.700537939302482e+27,0,1.1926044721474276e+38,1.1620914545354673e+37,1.2827711712712642e+37,0
IGR J17091-3624,candidateBH,59742.94477,SS,1.981580336447747e+28,6.382401394972313e+27,0,1.4401001105842702e+38,1.4700781612180023e+37,1.5831638466090671e+37,0
IGR J17091-3624,candidateBH,59763.89324,SS,1.9215324474644816e+28,5.489047130838972e+27,0,1.282256991292791e+38,1.2690104777120033e+37,1.4100175446740764e+37,0
IGR J17091-3624,candidateBH,59811.7387,SS,6.241978059810402e+29,3.1901203974648884e+28,0,8.455331544427908e+37,8.432093565617945e+36,9.332047089613477e+36,0
IGR J17091-3624,candidateBH,59846.76785,SS,1.0628476350037912e+29,7.796346057431723e+27,0,4.566031181281814e+37,3.765752319330978e+36,4.1021325871617645e+36,0
IGR J17091-3624,candidateBH,59852.54584,SS,2.3118437258557044e+29,1.3025859857718603e+28,0,4.0651566149976413e+37,3.170569771443437e+36,3.263448208892035e+36,0
IGR J17091-3624,candidateBH,59859.72204,SS,2.6871430320011112e+29,1.4716519003292472e+28,0,3.5450936714790763e+37,3.15858152048988e+36,3.3369742130056245e+36,0
IGR J17091-3624,candidateBH,59867.4988,SS,1.3390679243268107e+29,9.618399180481157e+27,0,3.2398496708609153e+37,3.198585028450296e+36,3.5701384783929704e+36,0
IGR J17091-3624,candidateBH,59873.63233,SS,2.1917479478891744e+29,1.2496058034051196e+28,0,2.982331814699736e+37,2.5203248095270957e+36,2.8086732910587077e+36,0
IGR J17091-3624,candidateBH,59986.25469,HS,2.0716521699226445e+28,6.905507233075483e+27,1,8.20967232193077e+35,2.736557440643591e+35,0.0,1
MAXI J1348-630,candidateBH,58512.029,HS,1.01572842415876e+29,5.091619115549067e+27,0,2.0110846931127626e+37,1.5804874215882145e+36,1.7353246357020134e+36,0
MAXI J1348-630,candidateBH,58515.161,HS,2.1182015385558958e+29,1.0628310811117206e+28,0,3.443474971928382e+37,3.3051848650008715e+36,3.6841320677448914e+36,0
MAXI J1348-630,candidateBH,58523.219,SS,3.600275348697035e+30,1.8040420141495685e+29,0,1.4652375685848289e+38,1.0652238119135782e+37,1.1998702463173275e+37,0
MAXI J1348-630,candidateBH,58530.114,SS,1.1884763970266368e+29,6.04555170789692e+27,0,1.2942299637694613e+38,1.2971157756730547e+37,1.4645626464994272e+37,0
MAXI J1348-630,candidateBH,58537.092,SS,1.5250754514558898e+28,8.15518797172852e+26,0,1.0868963323469877e+38,1.1175441313767824e+37,1.1978974345405821e+37,0
MAXI J1348-630,candidateBH,58543.076,SS,1.119525489401261e+28,6.201399340330312e+26,0,9.92390912984015e+37,1.0329353296896015e+37,1.1135416131263772e+37,0
MAXI J1348-630,candidateBH,58551.1,SS,8.896891306500088e+26,2.9656304355000296e+26,1,8.458401734341494e+37,7.747397322458173e+36,8.682253076749305e+36,0
MAXI J1348-630,candidateBH,58560.075,SS,8.896891306500088e+26,2.9656304355000296e+26,1,4.957088256136636e+37,4.057971070979893e+36,4.451286559970358e+36,0
MAXI J1348-630,candidateBH,58567.074,SS,8.896891306500088e+26,2.9656304355000296e+26,1,3.6628307084542185e+37,2.6829848229818474e+36,2.939309256031101e+36,0
MAXI J1348-630,candidateBH,58574.061,SS,5.9942805177544335e+28,3.0392473060798377e+27,0,3.315308511497167e+37,3.29443597541569e+36,3.781237362955281e+36,0
MAXI J1348-630,candidateBH,58582.053,SS,6.932161142981318e+28,3.52972514149306e+27,0,2.468154024868043e+37,2.3826944115773037e+36,2.7189003992951e+36,0
MAXI J1348-630,candidateBH,58588.053,SS,1.0009002719812598e+27,3.336334239937533e+26,1,2.5818598259654754e+37,2.2413178691398802e+36,2.445795003542706e+36,0
MAXI J1348-630,candidateBH,58607.908,HS,2.5422866908323993e+28,1.2988628149360488e+27,0,1.8598810671080636e+36,1.4135883626760203e+35,1.5700719996647414e+35,0
MAXI J1348-630,candidateBH,58614.909,HS,2.394746576666273e+27,3.198228677186451e+26,0,2.3026600484444364e+35,2.0782122261957125e+34,2.2430130537600175e+34,0
MAXI J1348-630,candidateBH,58621.888,HS,1.9869723917850195e+27,3.268556638501065e+26,0,2.9626843339997917e+34,3.311728886528075e+33,3.717811922150724e+33,0
MAXI J1348-630,candidateBH,58628.019,HS,9.860721198037596e+26,3.0063347179460342e+26,0,3.5170152545910644e+34,1.1723384181970217e+34,0.0,1
MAXI J1348-630,candidateBH,58634.896,HS,5.886776414467557e+27,5.1500298705187105e+26,0,5.8489124134014215e+35,5.034806252839171e+34,5.41768533725129e+34,0
MAXI J1348-630,candidateBH,58650.881,HS,4.6389874087309195e+28,2.4156252594107797e+27,0,5.739731357657861e+36,5.6253453282064935e+35,6.287525397511449e+35,0
MAXI J1348-630,candidateBH,58686.86,HS,8.199968154157582e+27,4.664443869828367e+26,0,1.4534028684403662e+36,1.284046028341832e+35,1.4335560258118963e+35,0
MAXI J1348-630,candidateBH,58691.75,HS,5.1824391860363e+27,3.185898891184735e+26,0,8.413070023484756e+35,1.1563473718095667e+35,1.287297791352287e+35,0
MAXI J1348-630,candidateBH,58699.713,HS,3.262193479050032e+27,3.515241705964122e+26,0,5.94206826452097e+34,6.228140105407805e+33,6.904141728100406e+33,0
MAXI J1348-630,candidateBH,58705.765,HS,1.0305565763362601e+27,2.9370434543343658e+26,0,4.83353766832615e+33,6.2727743387329425e+32,7.383685855324847e+32,0
